kaggle_country,country_kr,iso2,iso3
United Kingdom,영국,GB,GBR
France,프랑스,FR,FRA
Italy,이탈리아,IT,ITA
Germany,독일,DE,DEU
Spain,스페인,ES,ESP
Czech Republic,체코,CZ,CZE
Netherlands,네덜란드,NL,NLD
Greece,그리스,GR,GRC
Portugal,포르투갈,PT,PRT
Switzerland,스위스,CH,CHE
Iceland,아이슬란드,IS,ISL
Austria,오스트리아,AT,AUT
Ireland,아일랜드,IE,IRL
Denmark,덴마크,DK,DNK
Sweden,스웨덴,SE,SWE
Japan,일본,JP,JPN
China,중국,CN,CHN
Thailand,태국,TH,THA
Singapore,싱가포르,SG,SGP
Indonesia,인도네시아,ID,IDN
Vietnam,베트남,VN,VNM
India,인도,IN,IND
United Arab Emirates,아랍에미리트,AE,ARE
Turkey,튀르키예,TR,TUR
USA,미국,US,USA
Canada,캐나다,CA,CAN
Mexico,멕시코,MX,MEX
Brazil,브라질,BR,BRA
Argentina,아르헨티나,AR,ARG
Peru,페루,PE,PER
Chile,칠레,CL,CHL
Colombia,콜롬비아,CO,COL
Australia,호주,AU,AUS
New Zealand,뉴질랜드,NZ,NZL
Poland,폴란드,PL,POL
Hungary,헝가리,HU,HUN
Belgium,벨기에,BE,BEL
Norway,노르웨이,NO,NOR
Malaysia,말레이시아,MY,MYS
Nepal,네팔,NP,NPL
Israel,이스라엘,IL,ISR
Ecuador,에콰도르,EC,ECU
Sri Lanka,스리랑카,LK,LKA
