국가명,영문국가명,ISO코드,대륙명,안전공지_작성일,공지제목,공지내용_텍스트,공지내용_첨부링크,공지유형
가나,Ghana,GH,아프리카,2026-08-14,[안전공지]수도 아크라 무장 강도 사건 발생에 따른 안전 주의,"지난 8 월 13 일 목요일 오후 경 수도 아크라 라보니 (Labone) 지역에서 무장 괴한 3 명이 주변 은행 지점을 목표로 강도를 시도하려다 현장에 출동한 경찰과 총격전 중 용의자 2 명이 사망하였고 나머지 1 명이 체포된 사건이 발생하였습니다 . 주재국은 외국인 등을 대상으로 하는 총기 강도 및 강력 사건이 빈번히 발생할 우려가 있으니 가나에 체류 중이거나 방문 예정이신 국민들께서는 아래 예방 및 대응 요령을 참고하시어 신변안전에 각별히 유의해 주시기 바랍니다 . - 은행 등 금융기관에서 현금 인출 후 도보 이동 자제 - 외출 시 과도한 현금 및 귀중품 ( 장신구 포함 ) 소지 자제 - 강도의 위협이 있을 시 무리하게 저항하지 말고 돌발 행동은 가급적 삼가 - 심야 시간이나 이른 새벽에 단독 이동하거나 외진 장소 출입 자제 - 주변의 낯선 사람 , 낯선 차량 ( 특히 오토바이 ), 수상한 행동을 항상 경계 - 범죄가 발생할 경우 , 주재국 경찰에 즉시 긴급범죄 신고 (191) 아울러 사건 · 사고 피해 등 긴급사건 발생 시 에는 영사콜센터 (+82 02 3210 0404) 및 우리 대사관 조승형 해외안전담당영사 (+233 (0)59 699 4894) 에게 신속하게 연락주시기 바랍니다 . 끝 .",,판단보류
가나,Ghana,GH,아프리카,2026-07-20,[안전공지] 중동 정세 악화 장기화에 따른 안전 유의,"중동 상황 관련 , 미국과 이란이 상호 역내 군사시설뿐만 아니라 발전소와 교통인프라 등 민간시설까지 공격 범위를 넓혀가는 등 중동 지역의 긴장이 재차 고조되고 있습니다 . 이와 관련 , 미 국무부는 지난 7.18( 토 ) 홈페이지와 SNS 를 통해 전 세계 미국인을 대상으로 여행유의 경보 (Worldwide Caution) 를 발령하면서 “ 중동 이외 지역을 포함한 전 세계 미국 외교 시설들이 공격 대상이 되었고 이란을 지지하는 단체들이 전 세계의 미국이나 미국인과 관련된 장소를 공격 대상으로 삼을 수 있다 .” 고 경고하였습니다 . 이에 따라 가나에서도 미국 관련 시설 및 행사장 등이 공격의 표적이 될 가능성이 우려되는바 , 가나에 거주하고 계시거나 방문 예정이신 국민들께서는 전쟁 당사국 관련 시설에 필수 용무 외 방문 및 접근을 자제하는 등 개인 신변안전에 유의하시기 바랍니다 . 아울러 사건 · 사고 피해 등 긴급상황 발생 시에는 영사콜센터 (+82 02 3210 0404) 및 우리 대사관 조승형 해외안전담당영사 (+233 (0)59 699 4894) 에게 신속하게 연락주시기 바랍니다 . 끝 .",,단기
가나,Ghana,GH,아프리카,2026-07-13,디프테리아 감염병 예방 안내,"디프테리아는 치명률이 높고 집단 발생의 우려가 큰 제 1 급 법정감염병으로 최근 아프리카 , 동남아시아 뿐 아니라 호주에서도 유행이 보고되고 있습니다 . 가나 , 토고 , 베냉에 체류하거나 방문 예정이신 분들은 아래 참고하시기 바랍니다 . o 현재까지 가나 , 토고 , 베냉에는 발병 사례가 보고되지 않음 o 초기엔 감기 ( 발열 , 인후통 , 호흡곤란 등 ) 와 비슷하나 편도 ․ 후두에 회백색 위막이 형성되는 것이 특징 o 피부형으로도 발생할 수 있으며 , 유행지역 방문 후 잘 낫지 않는 궤양성 병변이 나타나면 피부형 디프테리아를 의심 o 환자와의 직간접 접촉 외에 기침이나 재채기로도 감염 가능 o 30 초 이상 비누로 손씻기 , 기침 예절 실천 , 마스크 착용 o 예방접종 실시 o Adabrake Polyclinic(International Vaccination Centre) 에 방문하면 백신 접종 가능 o 예방접종 시기 등 상세사항 별첨 카드뉴스 참고",,단기
가나,Ghana,GH,아프리카,2026-07-08,가나 현지 재난 및 사건 사고 대응 모바일 앱 안내,"가나 정부는 가나 국민 및 가나에 거주하는 외국인들의 안전을 위해 아래와 같은 재난 대응 모바일 앱 등을 운영하고 있습니다 . 참고하셔서 안전한 가나 생활을 위해 적절히 활용하시기 바랍니다 . o My flood risk Accra( 영어 ) - Greater Accra 지역 한정하여 운영하는 홍수 및 강우 현황을 실시간으로 알려주는 앱 - 한국 계정으로 다운로드 가능 o NADMO(National Disaster Management Organization)( 영어 ) - 왓츠앱번호 020 483 3556(NADMO BOAFOO AI) 로 등록하여 긴급상황신고 , 홍수나 화재 등 재난 대비 대처 관련 안전정보 제공 o 가나 내무부는 홍수 등 재난시 휴대전화로 관련 사항을 전파하는 재난문자를 발송하고 있으니 문자 수신시 내용 확인 요망 토고나 베냉은 현재로선 상기와 같은 모바일 앱은 없는 것으로 파악되나 , 추후 신규 앱이 출시될 경우 추가 공지할 예정입니다 .",,단기
가나,Ghana,GH,아프리카,2026-07-07,국외여행허가 제도 및 재외국민 온라인 인증수단 추가 도입 홍보 안내,,https://overseas.mofa.go.krhttps://youtube.com/embed/8q8KlBlYKyg | https://img.youtube.com/vi/8q8KlBlYKyg/hqdefault.jpg&quot; | https://overseas.mofa.go.kr/upload/se2/a7bb9a13-bbc3-4666-87ae-4b47022765f7.png | https://overseas.mofa.go.kr/upload/se2/043c193f-30c0-4f03-9ecd-aa2eded50081.png | https://overseas.mofa.go.kr/upload/se2/0e3022ac-a603-4f69-970c-c3bcb43011a8.png | https://overseas.mofa.go.kr/upload/se2/fbdb298f-2454-4386-ac6c-238463a93449.png | https://overseas.mofa.go.kr/upload/se2/c90472c9-e8d3-4bdc-994e-a6b430cdf605.png | https://overseas.mofa.go.kr/upload/se2/4e9a9799-0588-4549-9b00-47279ac0f47d.png,판단보류
가나,Ghana,GH,아프리카,2026-07-07,마약 운반 연루 주의 안전공지,"해외에서 우리 국민이 타인 ( 외국인 또는 내국인 ) 의 가방 , 소포 , 서류 등을 대신 운반하다가 그 안의 마약이 적발되어 체포 · 수감되는 사건이 계속해서 발생하고 있습니다 . 체포된 후 마약이 은닉된 사실을 몰랐다고 주장하더라도 이러한 주장이 현지 당국에 의해 받아들여지지 않는 경우가 대다수이며 , 따라서 마약 운반죄로 엄하게 처벌받을 수 있습니다 ( 일부 국가에서는 마약 운반 시 최고 사형까지 선고 ). 최근에는 주로 온라인을 통해 접근하여 오랜 기간 신뢰를 쌓은 후 가방 등을 운반해달라고 요청하는 방식의 범죄가 지속 발생하고 있어 , 타인으로부터 운반 요청을 받는 경우 단호히 거절하시거나 최소한 내용물을 철저히 확인하는 등 각별한 주의가 필요합니다 . 특히 , 타인 이 금전적 보상이나 여행경비 제공 등 조건을 제시하며 운반을 부탁할 경우 절대 응하시면 안됩니다 . 수상한 부탁을 받으시거나 위급 상황이 발생하면 즉시 현지 경찰 등 관계 기관이나 우리 대사관 ( 총영사관 ) 에 신고해 주시기 바랍니다 .",,판단보류
가나,Ghana,GH,아프리카,2026-06-29,아크라 및 테마 지역 집중호우에 따른 안전 주의 당부,"금일 새벽부터 가나 아크라 및 테마 지역을 포함한 수도권 일대에 폭우가 내리고 있습니다 . 가나 국가재난관리부 (NADMO) 는 금일 오전 7 시 30 분을 기하여 아크라 , 테마 , 카소아 지역에 홍수 경보를 발령하면서 차량 운전 및 도보 이동을 자제할 것을 권고했습니다 . 기습적인 폭우로 인해 대도시 주요 도로가 침수되고 교통사고 , 교통체증 , 정전 등의 피해가 발생하고 있으니 , 가나에 체류 중이신 국민들께서는 가급적 불필요한 외출을 자제해 주시고 아래의 행동 요령을 참고하시어 신변안전에 각별히 유의하여 주시기 바랍니다 . - 폭우 시 침수 위험 지역 및 저지대 방문 및 통행 자제 - 우천 시 무리한 차량 운행 금지 ( 감속 운행 필수 , 차량 침수 주의 ) - 건물 벽면 , 간판 , 가로수 등이 쓰러질 위험이 있으니 낙하물 주의 - 가로등 , 신호등 , 야외 전선 주변 감전 위험에 유의 - 가 나 기상청 (GMet) 공식 예보 등 실시간 기상 정보 모니터링 폭우로 인한 긴급상황 발생 시 긴급전화 112 또는 우리 대사관으로 즉시 신고 (+233. 244. 321. 858) 해 주시고 , 상당한 피해가 발생한 경우 , 해외안전담당 영사 (+233. 59. 699. 4894, 경감 조승형 ) 에게 알려 주시기 바랍니다 . / 끝 /",,단기
가나,Ghana,GH,아프리카,2026-06-26,아프리카 내 초국가범죄 조직 활동 확산에 따른 유의 당부,"캄보디아 등 동남아 국가를 중심으로 활동하던 초국가범죄 조직이 여타 지 역 으로 이동하는 ‘ 풍선효과 ’ 가 발생하고 있는 것으로 관찰되고 있는 가운데 , 최근 마다가 스카르에서 중국인이 다수 연루된 온라인스캠 의심 업체가 연이어 단속되는 등 아프리카 대륙에서도 초국가범죄가 확산 중인 정황이 관찰되고 있습니다 . 이에따라 , 주재국 가나 및 겸임국 토고 , 베냉에 체류 중이거나 방문 예정이신 국 민들께서는 아래의 유의 사항 참고하시어 범죄피해를 당하지 않도록 유의하여 주시기 바랍니다 . - 검증되지 않은 사업체나 개인으로부터 취업 제안을 받는 경우 주의 - SNS 를 통하여 신원이 확인되지 않은 사람과의 교류 자제 - 현지 호텔 , 리조트 , 비즈니스 센터 등에서 운영되는 의심스러운 사업체가 있는 경우 가급적 방문 자제 - 온라인을 통하여 현지인 또는 외국인을 가장해 접근하여 친분을 쌓은 뒤 , 투자 ( 금 · 주식 · 펀드 · 암호화폐 등 ) 권유나 긴급 자금 지원 , 대출 · 차관 등을 명목으로 금전 거래를 요구하는 경우 단호히 거절할 것 - 정부기관 ( 대사관 , 외교부 , 재외동포청 , 검찰청 , 경찰청 , 금융감독원 등 ) 을 사칭하여 개인정보 및 금전을 요구하는 범죄시도 주의 긴급상황 발생 시 긴급전화 112, 우리 대사관 (+233. (0)244. 321. 858) 또는 영사콜센터 (+82. (0)2. 3210. 0404) 로 즉시 신고해 주시고 , 특이 동향이나 피해 발생 시 해외안전담당 영사 (+233. 59. 699. 4894, 경감 조승형 ) 에게 알려 주시기 바랍니다 . / 끝 /",,판단보류
가나,Ghana,GH,아프리카,2026-06-19,우기철 폭우 및 침수 피해 예방을 위한 안전 유의,"주재국 가나는 최근 본격적인 우기철을 맞아 아크라 및 테마를 포함한 남부 및 해안 지역에 강한 바람과 천둥 · 번개를 동반한 집중호우가 지속적으로 발생하고 있습니다 . 기습적인 폭우로 인해 대도시 주요 도로가 침수되고 교통사고 , 교통체증 , 정전 등의 피해가 발생하고 있으니 , 가나에 체류 중이거나 방문 예정이신 국민들께서는 행동 요령을 참고하시어 신변안전에 각별히 유의하여 주시기 바랍니다 . - 폭우 시 침수 위험 지역 및 저지대 방문 및 통행 자제 - 우천 시 무리한 차량 운행 금지 ( 감속 운행 필수 , 차량 침수 주의 ) - 건물 벽면 , 간판 , 가로수 등이 쓰러질 위험이 있으니 낙하물 주의 - 가로등 , 신호등 , 야외 전선 주변 감전 위험에 유의 - 가 나 기상청 (GMet) 공식 예보 등 실시간 기상 정보 모니터링 긴급상황 발생 시 긴급전화 112 또는 우리 대사관으로 즉시 신고 (+233. 244. 321. 858) 해 주시고 , 특이 동향이나 피해를 입으신 경우 해외안전담당 영사 (+233. 59. 699. 4894, 경감 조승형 ) 에게 알려 주시기 바랍니다 . / 끝 /",,단기
가나,Ghana,GH,아프리카,2026-06-12,우리국민 상대 강도 사건 발생에 따른 안전 공지,"지난주 테마에서 우리 국민이 휴대전화를 빼앗으려는 강도와 다투다 신체적인 피해를 입는 사건이 발생하였습니다 . 주재국은 외국인을 대상으로 한 강도 등 강력 사건이 수시로 발생하고 있으니 , 가나에 체류 중이거나 방문 예정이신 국민들께서는 아래 예방 및 대응 요령을 참고하시어 신변안전에 각별히 유의하여 주시기 바랍니다 . - 심야 시간이나 이른 새벽에 단독으로 이동하거나 외진 장소 방문 자제 - 강도의 위협이 있을 시 무리하게 저항하지 말고 돌발 행동은 가급적 삼가 - 주변의 낯선 사람 , 낯선 차량 ( 특히 오토바이 ), 수상한 행동을 항상 경계 - 범죄 신고번호 (191) 를 숙지하여 범죄가 발생할 경우 즉시 신고 긴급사건 발생 시 우리 대사관으로 즉시 신고 (+233. 244. 321. 858) 해 주시고 , 특이 동향이나 피해를 입으신 경우 해외안전담당 영사 (+233. 59. 699. 4894, 경감 조승형 ) 에게 알려 주시기 바랍니다 . / 끝 /",,판단보류
